city_slug,city_name,date,max_temp,min_temp,avg_temp,weather_type,weather_detail,wind_direction,wind_speed_kmh,wind_level,precipitation_mm,rain_flag,aqi,source_type,source_name,crawl_time
beijing,北京,2026-04-08,22.0,7.0,14.5,雨,小雨,西南风,15.1,3,2.1,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
chengdu,成都,2026-04-08,24.0,17.0,20.5,晴,晴,东北风,12.9,3,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
chongqing,重庆,2026-04-08,28.0,19.0,23.5,多云,多云,西北风,15.0,3,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
hangzhou,杭州,2026-04-08,21.0,13.0,17.0,多云,多云,东南风,17.7,3,0.1,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
nanjing,南京,2026-04-08,19.0,13.0,16.0,雨,小雨,东南风,19.7,4,13.5,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
qingdao,青岛,2026-04-08,13.0,9.0,11.0,雨,中雨,东南风,24.5,4,2.6,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
sanya,三亚,2026-04-08,33.0,26.0,29.5,多云,多云,东风,16.8,3,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
shanghai,上海,2026-04-08,17.0,11.0,14.0,阴,阴,东南风,18.2,3,3.0,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
xiamen,厦门,2026-04-08,22.0,19.0,20.5,多云,多云,东风,10.5,2,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
xian,西安,2026-04-08,18.0,12.0,15.0,晴,晴,东北风,26.1,4,2.3,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
beijing,北京,2026-04-09,17.0,12.0,14.5,雨,小雨转多云,东南风,8.6,2,4.8,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
chengdu,成都,2026-04-09,29.0,18.0,23.5,雨,晴转小雨,东北风,8.4,2,0.0,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
chongqing,重庆,2026-04-09,28.0,21.0,24.5,多云,晴转多云,西风,11.2,3,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
hangzhou,杭州,2026-04-09,31.0,16.0,23.5,雨,小雨转中雨,西南风,26.6,4,24.9,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
nanjing,南京,2026-04-09,23.0,16.0,19.5,雨,中雨转多云,南风,21.7,4,29.7,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
qingdao,青岛,2026-04-09,13.0,11.0,12.0,雨,小雨转多云,东南风,25.5,4,7.5,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
sanya,三亚,2026-04-09,32.0,26.0,29.0,多云,多云,东南风,16.5,3,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
shanghai,上海,2026-04-09,27.0,17.0,22.0,雨,小雨转大雨,南风,16.7,3,12.8,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
xiamen,厦门,2026-04-09,27.0,20.0,23.5,多云,多云,南风,24.4,4,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
xian,西安,2026-04-09,27.0,11.0,19.0,多云,晴转多云,东南风,11.2,3,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
beijing,北京,2026-04-10,26.0,9.0,17.5,晴,晴,西南风,14.0,3,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
chengdu,成都,2026-04-10,28.0,20.0,24.0,雨,小雨转阴,西北风,11.5,3,6.3,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
chongqing,重庆,2026-04-10,25.0,21.0,23.0,雨,多云转小雨,北风,13.6,3,4.3,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
hangzhou,杭州,2026-04-10,25.0,20.0,22.5,阴,多云转阴,北风,11.1,3,4.0,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
nanjing,南京,2026-04-10,23.0,16.0,19.5,阴,多云转阴,北风,11.9,3,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
qingdao,青岛,2026-04-10,15.0,11.0,13.0,晴,晴,西北风,22.5,4,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
sanya,三亚,2026-04-10,32.0,26.0,29.0,多云,多云,东南风,13.3,3,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
shanghai,上海,2026-04-10,24.0,17.0,20.5,阴,晴转阴,西北风,9.5,2,10.9,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
xiamen,厦门,2026-04-10,28.0,22.0,25.0,多云,多云,南风,19.5,4,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
xian,西安,2026-04-10,27.0,13.0,20.0,阴,阴,东北风,9.1,2,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
beijing,北京,2026-04-11,27.0,11.0,19.0,多云,晴转多云,南风,15.0,3,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
chengdu,成都,2026-04-11,27.0,18.0,22.5,阴,阴,西北风,10.7,2,0.1,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
chongqing,重庆,2026-04-11,22.0,19.0,20.5,雨,中雨转晴,东风,11.5,3,3.2,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
hangzhou,杭州,2026-04-11,20.0,16.0,18.0,雨,大雨转中雨,东风,15.1,3,3.3,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
nanjing,南京,2026-04-11,22.0,17.0,19.5,雨,阴转小雨,东风,18.0,3,0.0,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
qingdao,青岛,2026-04-11,16.0,11.0,13.5,多云,多云,南风,17.1,3,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
sanya,三亚,2026-04-11,33.0,27.0,30.0,多云,晴转多云,东南风,16.0,3,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
shanghai,上海,2026-04-11,19.0,15.0,17.0,雨,阴转中雨,东风,10.6,2,0.4,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
xiamen,厦门,2026-04-11,27.0,23.0,25.0,阴,多云转阴,南风,21.0,4,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
xian,西安,2026-04-11,25.0,13.0,19.0,雨,阴转小雨,东风,11.5,3,0.7,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
beijing,北京,2026-04-12,23.0,14.0,18.5,雾霾,阴转轻度雾霾,东南风,12.8,3,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
chengdu,成都,2026-04-12,24.0,19.0,21.5,雨,阴转小雨,东北风,8.4,2,0.9,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
chongqing,重庆,2026-04-12,26.0,18.0,22.0,阴,阴转多云,北风,7.3,2,0.9,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
hangzhou,杭州,2026-04-12,20.0,16.0,18.0,雨,小雨转中雨,东风,3.5,1,11.4,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
nanjing,南京,2026-04-12,20.0,16.0,18.0,雨,小雨转阴,东风,14.0,3,0.0,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
qingdao,青岛,2026-04-12,15.0,11.0,13.0,阴,阴转多云,南风,12.1,3,1.5,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
sanya,三亚,2026-04-12,33.0,27.0,30.0,多云,晴转多云,东南风,18.2,3,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
shanghai,上海,2026-04-12,18.0,14.0,16.0,雨,中雨,东风,13.2,3,4.2,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
xiamen,厦门,2026-04-12,27.0,23.0,25.0,多云,多云转晴,东南风,22.2,4,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
xian,西安,2026-04-12,28.0,14.0,21.0,雨,小雨转阴,南风,5.7,2,0.0,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
beijing,北京,2026-04-13,21.0,11.0,16.0,晴,晴,南风,10.9,2,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
chengdu,成都,2026-04-13,24.0,18.0,21.0,雨,小雨,东北风,10.8,2,6.0,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
chongqing,重庆,2026-04-13,26.0,20.0,23.0,雨,小雨转多云,东北风,5.3,2,13.8,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
hangzhou,杭州,2026-04-13,22.0,16.0,19.0,雨,小雨转阴,东风,13.2,3,8.4,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
nanjing,南京,2026-04-13,19.0,15.0,17.0,阴,阴转多云,东风,13.8,3,3.3,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
qingdao,青岛,2026-04-13,16.0,11.0,13.5,阴,多云转阴,北风,20.0,4,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
sanya,三亚,2026-04-13,34.0,27.0,30.5,多云,多云,东南风,18.2,3,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
shanghai,上海,2026-04-13,21.0,15.0,18.0,雨,中雨转多云,东南风,12.2,3,1.5,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
xiamen,厦门,2026-04-13,27.0,22.0,24.5,多云,晴转多云,东风,17.7,3,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
xian,西安,2026-04-13,22.0,14.0,18.0,阴,阴,东北风,9.6,2,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
beijing,北京,2026-04-14,21.0,11.0,16.0,阴,多云转阴,南风,11.2,3,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
chengdu,成都,2026-04-14,25.0,17.0,21.0,阴,多云转阴,北风,10.4,2,6.9,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
chongqing,重庆,2026-04-14,22.0,19.0,20.5,雨,多云转小雨,西北风,5.6,2,3.0,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
hangzhou,杭州,2026-04-14,24.0,16.0,20.0,雨,中雨转小雨,东南风,12.4,3,1.8,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
nanjing,南京,2026-04-14,21.0,14.0,17.5,雨,阴转小雨,东北风,13.6,3,10.2,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
qingdao,青岛,2026-04-14,16.0,10.0,13.0,阴,多云转阴,东南风,8.3,2,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
sanya,三亚,2026-04-14,34.0,26.0,30.0,多云,多云,东南风,16.8,3,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
shanghai,上海,2026-04-14,22.0,14.0,18.0,阴,阴转多云,东南风,8.0,2,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
xiamen,厦门,2026-04-14,28.0,22.0,25.0,多云,多云,东南风,14.6,3,0.0,0,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
xian,西安,2026-04-14,21.0,12.0,16.5,雨,小雨转阴,东北风,10.6,2,0.0,1,,forecast,tianqi.com + open-meteo forecast,2026-04-08T22:46:44
